description,parameter,base_case_value,distribution,alpha,beta,reference_source
Maintenance Adjustment Ratio for Indirect Comparison,ADA Maintenance Responder Adjustment Ratio,0.94,Uniform,0.76,1.13,"12, 22"
Placebo UST Maintenance Trial Endpoint Proportion,CT Week 44 Remission Probability in Patients in Remission at Baseline,0.46,Beta,36,43,12
Placebo UST Maintenance Trial Endpoint Proportion,CT Week 44 Remission Probability in Patients Not in Remission at Baseline,0.21,Beta,11,41,12
Placebo UST Maintenance Trial Endpoint Proportion,CT Week 44 Response Probability,0.44,Beta,58,73,12
Placebo UST Maintenance Trial Endpoint Ratio,CT Week 44 Remitter:Responder Ratio,0.81,Uniform,0.65,0.97,12
CT Transition Probability,CT 2-Week M-S to M-SR Probability,0.050,Uniform,0.04,0.06,Assumed
CT Transition Probability,CT 2-Week M-S to Mild Probability,0.050,Uniform,0.04,0.06,Assumed
Proportion for Calculating Transition Probabilities,Proportion of Responders that Transition to Mild,0.50,Uniform,0.4,0.6,Assumed
Surgery Rate from Clinical Trial,Placebo Surgery Rate per 100 Responders per 54 weeks,126,Uniform,101,151,10
Surgery Rate from Clinical Trial,IFX Surgery Rate per 100 Responders per 54 weeks,65,Uniform,52,78,10
Out of Surgery Transition Probability,8-Week Surgery to M-S Probability,0.060,Uniform,0.048,0.072,"13, 14"
Out of Surgery Transition Probability,8-Week Surgery to Mild/M-SR Probability,0.075,Uniform,0.06,0.09,"13, 14"
Out of Surgery Transition Probability,8-Week Surgery to Surgery Probability,0.34,Uniform,0.27,0.40,"13, 14"
Direct Cost,"Mild-Moderate CD-related PMPM Mean Pharmacy Cost, 2008 USD",111,Gamma,2644,0.042,32
Direct Cost,"Moderate-Severe CD-related PMPM Mean Total Cost, 2008 USD",374,Gamma,2508,0.15,32
Direct Cost,"Moderate-Severe CD-related PMPM Mean Pharmacy Cost, 2008 USD",123,Gamma,2093,0.059,32
Direct Cost,"Mild-Moderate CD-related PMPM Mean Total Cost, 2008 USD",152,Gamma,1427,0.11,32
Direct Cost,"Remission CD-related PMPM Mean Total Cost, 2008 USD",17,Gamma,181,0.094,32
Direct Cost,"Severe-Fulminant CD-related PMPM Mean Total Cost, 2008 USD",1475,Gamma,34,43,32
Direct Cost,"Difference in Annual OOP Costs: CD Patients and Non-CD Patients, 2010 USD",737,Gamma,1,737,33
Time,Infusion Minutes of Treatment Time,150,Uniform,120,180,"Assumed, 31"
Time,Monitoring/Management Minutes of Treatment Time,84,Gamma,3010,0.028,34
Time,Surgery/Procedure Minutes of Treatment Time,210,Uniform,168,252,Assumed
Time,Minutes of Travel Time (All Adults Seeking Care for Self or Others),37,Gamma,1316,0.028,34
EQ-5D Utility,Remission,0.82,Uniform,0.66,0.98,"13, 15"
EQ-5D Utility Ratio,Mild:Remission Ratio,0.89,Uniform,0.80,0.98,"13, 15"
EQ-5D Utility Ratio,M-SR:Mild Ratio,0.89,Uniform,0.80,0.98,"13, 15, 35"
EQ-5D Utility Ratio,M-S:M-SR Ratio,0.87,Uniform,0.79,0.96,"13, 15, 35"
EQ-5D Utility Ratio,Surgery:M-SR Ratio,0.87,Uniform,0.79,0.96,"13, 15, 35"
Direct Cost,"Drug Administration (Infusion), 2007 USD",239,,,,31
Compensation,"Average Hourly Compensation, June 2017 USD",35,,,,27
Direct Cost,FSS UST induction Unit Cost (130 mg vial),1512,,,,28
Direct Cost,"FSS UST Maintenance Unit Cost (90 mg Syringe), September 2017 USD",9693,,,,28
Direct Cost,"FSS IFX Unit Cost (100 mg Vial), September 2017 USD",656,,,,28
Direct Cost,"FSS ADA Unit Cost (40 mg Syringe), September 2017 USD",1384,,,,28
